energy_production_peak,nbr_on,reserve_primary_up_on_peak,reserve_primary_up_off_peak,reserve_primary_down_peak
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,944.9999999999991,0.0
0.0,0.0,0.0,1440.9999999999995,0.0
135.0,1.8367346938775515,42.24489795918368,1556.7551020408146,45.91836734693878
247.00000000000128,3.3605442176870928,77.29251700680312,2174.707482993195,84.01360544217731
372.9999999999999,5.074829931972788,116.72108843537411,1594.2789115646242,126.8707482993197
372.9999999999999,5.074829931972788,116.72108843537411,974.278911564624,126.8707482993197
0.0,0.0,0.0,561.9999999999998,0.0
0.0,0.0,0.0,562.0000000000013,0.0
0.0,0.0,0.0,260.9999999999989,0.0
0.0,0.0,0.0,101.0000000000002,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,76.99999999999913,0.0
0.0,0.0,0.0,264.9999999999976,0.0
0.0,0.0,0.0,517.9999999999984,0.0
0.0,0.0,0.0,529.9999999999991,0.0
0.0,0.0,0.0,501.99999999999983,0.0
0.0,0.0,0.0,581.9999999999986,0.0
0.0,0.0,0.0,320.0000000000007,0.0
0.0,0.0,0.0,175.99999999999977,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,65.99999999999861,0.0
0.0,0.0,0.0,138.99999999999815,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,244.00000000000088,0.0
0.0,0.0,0.0,1490.9999999999984,0.0
727.0000000000005,9.891156462585041,227.4965986394559,1002.5034013605418,247.278911564626
806.9999999999998,10.979591836734695,252.53061224489795,1563.4693877550994,274.4897959183673
934.0000000000002,12.621621621621625,290.29729729729735,1477.1621621621623,315.5405405405406
1051.0,14.202702702702702,326.6621621621621,1342.7702702702704,355.06756756756744
1178.0000000000005,15.918918918918925,366.1351351351352,1196.8918918918916,397.972972972973
1264.0000000000002,17.081081081081084,392.8648648648649,1098.108108108108,427.02702702702703
1266.0000000000002,17.108108108108112,393.48648648648657,1095.8108108108106,427.70270270270277
1394.000000000001,18.83783783783785,433.2702702702705,948.7837837837832,470.9459459459461
1504.0000000000002,20.324324324324326,467.4594594594595,822.4324324324325,508.10810810810807
1476.0000000000002,19.94594594594595,458.75675675675683,854.5945945945944,498.64864864864865
1268.0000000000005,17.13513513513514,394.10810810810824,1093.513513513513,428.3783783783785
1036.000000000001,14.000000000000012,322.0000000000003,1359.9999999999993,350.0000000000003
776.9999999999998,10.571428571428571,243.14285714285714,1189.8571428571402,264.2857142857142
244.01999999999813,3.3199999999999754,76.35999999999942,1360.6199999999994,82.99999999999937
82.31999999999783,1.1199999999999708,25.759999999999327,1402.9200000000017,27.999999999999268
0.0,0.0,0.0,835.0000000000003,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,50.999999999999915,0.0
0.0,0.0,0.0,339.9999999999985,0.0
0.0,0.0,0.0,622.9999999999997,0.0
0.0,0.0,0.0,1071.0000000000005,0.0
0.0,0.0,0.0,1296.9999999999998,0.0
0.0,0.0,0.0,1647.9999999999977,0.0
0.0,0.0,0.0,1762.9999999999998,0.0
353.9999999999979,5.9459459459459385,136.75675675675657,1201.2432432432445,19.00000000000015
458.99999999999875,5.9459459459459385,117.75675675675723,1017.2432432432438,0.0
439.99999999999943,5.9459459459459385,136.75675675675657,727.2432432432443,0.0
232.9999999999996,4.804123711340199,110.49484536082456,753.5051546391763,0.0
0.0,0.0,0.0,505.999999999998,0.0
0.0,0.0,0.0,104.00000000000023,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
