energy_generation,generation_reserve_up_primary_on,generation_reserve_down_primary,generation_reserve_up_secondary_on,generation_reserve_down_secondary,generation_reserve_up_tertiary1_on,generation_reserve_down_tertiary1
16414.648571072037,214.99999999999997,128.0,677.699996948,673.699996948,836.828979492,891.6510446177999
14117.0617014104,215.00000000000003,128.00000000000003,677.699996948,673.699996948,836.8289794920001,888.2510445224
14117.0617014104,127.99999999999999,128.0,640.699996948,673.699996948,836.828979492,888.2510445224
13246.851701410398,128.0,128.0,640.699996948,673.699996948,836.828979492,888.2510445224
11271.031701314998,128.0,128.00000000000003,521.699996948,476.69999694800003,871.8289794919999,849.851044427
11271.031701314998,128.0,128.00000000000003,521.699996948,476.69999694800003,871.828979492,849.8510444269999
11271.031701314998,128.0,128.0,521.699996948,476.69999694800003,871.8289794919999,849.851044427
11271.031701314998,128.0,128.00000000000003,521.699996948,476.69999694800003,871.8289794919999,849.851044427
11172.1406688475,128.0,128.00000000000003,649.699996948,719.699996948,1213.7200119595,507.9600119595
11172.1406688475,128.0,128.0,649.699996948,719.699996948,1213.7200119595,507.9600119595
11172.1406688475,128.0,128.0,649.699996948,719.699996948,1213.7200119595,507.9600119595
11170.440668799798,128.00000000000003,128.00000000000003,649.699996948,719.699996948,1212.0200119117999,506.2600119118
11154.7406687521,127.99999999999994,128.0,719.699996948,705.699996948,1210.3200118641,504.5600118641
11154.7406687521,127.99999999999994,128.00000000000003,719.699996948,705.699996948,1210.3200118641,504.5600118641
11154.7406687521,128.0,128.00000000000003,719.699996948,705.699996948,1210.3200118641,504.5600118641
11154.7406687521,127.99999999999994,128.00000000000003,719.699996948,705.699996948,1210.3200118641,504.5600118641
11169.7406687521,128.0,128.0,954.699996948,720.699996948,1210.3200118641,504.5600118641
11168.040668704398,128.0,128.00000000000003,954.699996948,720.699996948,1208.6200118164,502.8600118164
11168.040668704398,127.99999999999997,128.00000000000003,954.699996948,720.699996948,1208.6200118164,502.8600118164
12908.460668704398,128.0,128.00000000000003,954.6999969479999,720.699996948,1208.6200118164,502.8600118164
12446.064206943998,128.00000000000003,128.00000000000003,646.699996948,694.699996948,745.828979492,823.306550056
12446.064206943998,127.99999999999997,128.00000000000003,646.699996948,694.699996948,745.828979492,823.306550056
12446.064206943998,127.99999999999999,128.00000000000003,646.699996948,694.699996948,745.828979492,823.3065500559999
12446.064206943998,128.0,128.00000000000003,646.699996948,694.699996948,745.828979492,823.306550056
12493.557740238997,128.0,128.00000000000003,640.699996948,673.699996948,836.8289794920001,844.270083351
12493.557740238997,128.0,128.0,640.699996948,673.699996948,836.8289794919999,844.270083351
12493.557740238997,128.0,128.00000000000003,640.699996948,673.699996948,836.8289794920001,844.270083351
12493.557740238997,128.0,128.00000000000003,640.699996948,673.699996948,836.8289794919999,844.270083351
11372.347740238998,128.0,128.0,521.699996948,476.69999694800003,871.828979492,790.2700833510002
11372.347740238998,128.0,128.0,521.699996948,476.69999694800003,871.8289794919999,790.270083351
11372.347740238998,128.0,128.00000000000003,521.699996948,476.69999694800003,871.8289794919999,790.2700833510002
11372.347740238998,127.99999999999996,128.0,521.699996948,476.69999694800003,871.8289794919999,790.270083351
11311.7376684185,127.99999999999996,128.0,649.699996948,719.699996948,1280.8900115305,486.6600115305
11311.7376684185,128.0,128.00000000000003,649.699996948,719.699996948,1280.8900115305,486.6600115305
11311.7376684185,127.99999999999994,128.0,649.699996948,719.699996948,1280.8900115305,486.6600115305
11311.7376684185,127.99999999999994,128.00000000000003,649.699996948,719.699996948,1280.8900115305,486.6600115305
11297.7376684185,128.0,128.0,719.699996948,705.699996948,1280.8900115305,486.6600115305
11297.7376684185,127.99999999999993,128.00000000000003,719.699996948,705.699996948,1280.8900115305,486.6600115305
11297.7376684185,127.99999999999994,128.00000000000003,719.699996948,705.699996948,1280.8900115305,486.6600115305
11297.7376684185,128.0,128.0,719.699996948,705.699996948,1280.8900115305,486.6600115305
11312.7376684185,127.99999999999999,128.00000000000003,954.699996948,720.699996948,1280.8900115305,486.6600115305
11312.7376684185,128.0,128.0,954.699996948,720.699996948,1280.8900115305,486.6600115305
11311.037668370798,127.99999999999999,128.00000000000003,954.699996948,720.699996948,1279.1900114828,484.9600114828
17321.441083859037,127.99999999999999,128.0,954.6999969479999,720.699996948,1279.1900114828,484.9600114828
23650.44108385904,127.99999999999996,128.0,646.699996948,694.699996948,745.8289794919999,732.270083351
25375.240083351,128.0,128.0,646.699996948,694.699996948,745.8289794919999,732.270083351
25503.240083351,128.0,128.0,646.699996948,694.699996948,745.8289794919999,732.270083351
25555.44108385904,128.0,128.0,646.699996948,694.699996948,745.8289794919999,732.270083351
22330.17100050804,96.76674066250001,128.0,40.0700004128,673.699996948,120.70000338669999,0.0
21376.171000508042,96.76674066250001,128.0,40.0700004128,673.699996948,120.70000338669999,0.0
20582.171000508042,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
20212.17100050804,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
21065.17100050804,98.00674067200002,128.0,40.440000417600004,476.69999694800003,122.40000343439999,0.0
22885.827999999998,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
26486.75372913104,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
23365.25,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
23894.6800117491,100.48674069100001,128.0,399.76272905019954,719.699996948,125.8000035298,0.0
20869.171000508042,128.00000000000009,128.0,370.54946969349976,719.699996948,127.5000035775,0.0
18810.943256888,128.0,128.0,370.54946969349976,719.699996948,127.5000035775,0.0
18810.943256888,101.72674070050002,128.0,396.82272899299977,719.699996948,127.5000035775,0.0
18892.003256888,118.30947274549978,128.00000000000003,719.699996948,705.699996948,304.0400035775,0.0
18892.003256888,128.00000000000006,128.00000000000003,719.6999969479999,705.699996948,294.34947632299964,0.0
19197.171000508042,128.0,128.0,706.6094695980996,705.699996948,307.44000367290005,0.0
18892.003256888,128.00000000000006,128.0,719.699996948,705.699996948,294.34947632299975,0.0
18811.943256888,105.4494726500996,128.0,954.699996948,720.699996948,130.9000036729,0.0
18811.943256888,105.44674072900001,128.00000000000003,953.0027288213997,720.699996948,132.6000037206,0.0
23644.171000508042,105.44947265009954,128.0,954.699996948,720.699996948,130.9000036729,0.0
30037.171000508042,128.0,128.0,932.1494695980996,720.699996948,130.9000036729,0.0
30520.171010507995,102.96674071000001,128.0,41.9200004368,694.699996948,129.2000036252,0.0
31344.171010507995,104.20674071950002,128.0,42.2900004416,694.699996948,130.9000036729,0.0
31746.79300152412,104.20674071950002,128.0,42.2900004416,694.699996948,130.9000036729,0.0
29505.171010508,104.20674071950002,128.0,42.2900004416,694.699996948,130.9000036729,0.0
26927.36,94.28674064350001,128.0,39.3300004032,673.699996948,117.30000329129999,0.0
29200.171000508042,94.28674064350001,128.0,39.3300004032,673.699996948,117.30000329129999,0.0
28313.171000508042,94.28674064350001,128.0,39.3300004032,673.699996948,117.30000329129999,0.0
27601.059996948,94.28674064350001,128.0,39.3300004032,673.699996948,117.30000329129999,0.0
28369.17100050804,93.04674063400002,128.0,38.9600003984,476.69999694800003,115.6000032436,0.0
27532.059996948,94.28674064350001,128.0,39.3300004032,476.69999694800003,117.30000329129999,0.0
26927.36,93.04674063400002,128.0,38.9600003984,476.69999694800003,115.6000032436,0.0
29032.922264896995,93.04674063400002,128.0,38.9600003984,476.69999694800003,115.6000032436,0.0
30315.171000508042,93.04674063400002,128.0,38.9600003984,719.699996948,115.6000032436,0.0
24745.171000508042,91.80674062450001,128.0,38.59000039360001,719.699996948,113.9000031959,0.0
22718.263256888,93.04674063400002,128.0,38.9600003984,719.699996948,115.6000032436,0.0
22718.263256888,93.04674063400002,128.00000000000003,38.9600003984,719.699996948,115.6000032436,0.0
22704.263256888,93.04674063400002,128.00000000000003,38.9600003984,705.699996948,115.6000032436,0.0
22704.263256888,93.04674063400002,128.0,38.9600003984,705.699996948,115.6000032436,0.0
22704.263256888,94.28674064350001,128.0,39.3300004032,705.699996948,117.30000329129999,0.0
22704.263256888,94.28674064350001,128.00000000000003,39.3300004032,705.699996948,117.30000329129999,0.0
22719.263256888,94.28674064350001,128.0,39.3300004032,720.699996948,117.30000329129999,0.0
22719.263256888,94.28674064350001,128.00000000000003,39.3300004032,720.699996948,117.30000329129999,0.0
27596.69676270329,94.28674064350001,128.0,39.3300004032,720.699996948,117.30000329129999,0.0
32463.171010508002,94.28674064350001,128.0,39.3300004032,720.699996948,117.30000329129999,0.0
32620.808,93.04674063400002,128.0,38.9600003984,694.699996948,115.6000032436,0.0
32620.808,93.04674063400002,128.0,38.9600003984,694.699996948,115.6000032436,0.0
32620.808,94.28674064350001,128.0,39.3300004032,694.699996948,117.30000329129999,0.0
32620.808,94.28674064350001,128.0,39.3300004032,694.699996948,117.30000329129999,0.0
32652.171000508042,109.16674075750001,128.0,43.770000460800006,673.699996948,137.7000038637,0.0
30883.171000508042,109.16674075750001,128.0,43.770000460800006,673.699996948,137.7000038637,0.0
29515.171000508042,109.16674075750001,128.0,43.770000460800006,673.699996948,137.7000038637,0.0
28717.171000508042,109.16674075750001,128.0,43.770000460800006,673.699996948,137.7000038637,0.0
28932.981996948,107.92674074800001,128.0,43.400000456,476.69999694800003,136.000003816,0.0
29899.171000508042,109.16674075750001,128.0,43.770000460800006,476.69999694800003,137.7000038637,0.0
32534.17100050804,107.92674074800001,128.0,43.400000456,476.69999694800003,136.000003816,0.0
33249.171000508046,107.92674074800001,128.0,43.400000456,476.69999694800003,136.000003816,0.0
30853.171000508042,107.92674074800001,128.0,43.400000456,719.699996948,136.000003816,0.0
26278.171000508042,106.68674073850002,128.0,43.0300004512,719.699996948,134.3000037683,0.0
23325.685256888,107.92674074800001,128.00000000000003,43.400000456,719.699996948,136.000003816,0.0
23325.685256888,107.92674074800001,128.0,43.400000456,719.699996948,136.000003816,0.0
23311.685256888,107.92674074800001,128.0,43.400000456,705.699996948,136.000003816,0.0
23311.685256888,107.92674074800001,128.0,43.400000456,705.699996948,136.000003816,0.0
23311.685256888,109.16674075750001,128.0,43.770000460800006,705.699996948,137.7000038637,0.0
23311.685256888,109.16674075750001,128.00000000000003,43.770000460800006,705.699996948,137.7000038637,0.0
23326.685256888,109.16674075750001,128.0,43.770000460800006,720.699996948,137.7000038637,0.0
23641.171000508042,109.16674075750001,128.0,43.770000460800006,720.699996948,137.7000038637,0.0
29626.52707560902,109.16674075750001,128.0,43.770000460800006,720.699996948,137.7000038637,0.0
33414.308000000005,109.16674075750001,128.0,43.770000460800006,720.699996948,137.7000038637,0.0
33414.308000000005,107.92674074800001,128.0,43.400000456,694.699996948,136.000003816,0.0
33414.308000000005,107.92674074800001,128.0,43.400000456,694.699996948,136.000003816,0.0
33414.308000000005,109.16674075750001,128.0,43.770000460800006,694.699996948,137.7000038637,0.0
33414.308000000005,109.16674075750001,128.0,43.770000460800006,694.699996948,137.7000038637,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,673.699996948,127.5000035775,0.0
30914.75221173004,101.72674070050002,128.0,41.550000432000004,673.699996948,127.5000035775,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,673.699996948,127.5000035775,0.0
32982.171000508046,101.72674070050002,128.0,41.550000432000004,673.699996948,127.5000035775,0.0
29271.06221179204,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
30013.75221173004,101.72674070050002,128.0,41.550000432000004,476.69999694800003,127.5000035775,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,476.69999694800003,125.8000035298,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,719.699996948,125.8000035298,0.0
28962.171010508002,99.24674068150001,128.0,40.8100004224,719.699996948,124.10000348209999,0.0
28328.282,100.48674069100001,128.0,41.1800004272,719.699996948,125.8000035298,0.0
24639.712599239258,100.48674069100001,128.0,41.1800004272,719.699996948,125.8000035298,0.0
23594.171000508042,100.48674069100001,128.0,41.1800004272,705.699996948,125.8000035298,0.0
24588.380101266437,100.48674069100001,128.0,41.1800004272,705.699996948,125.8000035298,0.0
26859.171000508042,101.72674070050002,128.0,41.550000432000004,705.699996948,127.5000035775,0.0
26850.171000508042,101.72674070050002,128.0,41.550000432000004,705.699996948,127.5000035775,0.0
27799.171000508042,101.72674070050002,128.0,41.550000432000004,720.699996948,127.5000035775,0.0
28456.282,101.72674070050002,128.0,41.550000432000004,720.699996948,127.5000035775,0.0
31836.171010508,101.72674070050002,128.0,41.550000432000004,720.699996948,127.5000035775,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,720.699996948,127.5000035775,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,694.699996948,125.8000035298,0.0
33414.308000000005,100.48674069100001,128.0,41.1800004272,694.699996948,125.8000035298,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,694.699996948,127.5000035775,0.0
33414.308000000005,101.72674070050002,128.0,41.550000432000004,694.699996948,127.5000035775,0.0
31466.171010508,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
33414.308000000005,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
30128.171010508,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
30063.171010508,98.00674067200002,128.0,40.440000417600004,673.699996948,122.40000343439999,0.0
30489.171010508,96.76674066250001,128.0,40.0700004128,476.69999694800003,120.70000338669999,0.0
30566.171010508,98.00674067200002,128.0,40.440000417600004,476.69999694800003,122.40000343439999,0.0
33036.171010508006,96.76674066250001,128.0,40.0700004128,476.69999694800003,120.70000338669999,0.0
33414.308000000005,96.76674066250001,128.0,40.0700004128,476.69999694800003,120.70000338669999,0.0
33172.171000508046,96.76674066250001,128.0,40.0700004128,719.699996948,120.70000338669999,0.0
29047.981996948,96.76674066250001,128.0,40.0700004128,719.699996948,120.70000338669999,0.0
25556.171000508042,96.76674066250001,128.0,40.0700004128,719.699996948,120.70000338669999,0.0
25146.09672540511,96.76674066250001,128.0,40.0700004128,719.699996948,120.70000338669999,0.0
25355.171000508042,96.76674066250001,128.0,40.0700004128,705.699996948,120.70000338669999,0.0
26231.171000508042,96.76674066250001,128.0,40.0700004128,705.699996948,120.70000338669999,0.0
28216.171000508042,96.76674066250001,128.0,40.0700004128,705.699996948,120.70000338669999,0.0
28695.17100050804,96.76674066250001,128.0,40.0700004128,705.699996948,120.70000338669999,0.0
28880.171000508042,96.76674066250001,128.0,40.0700004128,720.699996948,120.70000338669999,0.0
28328.282,96.76674066250001,128.0,40.0700004128,720.699996948,120.70000338669999,0.0
31808.171010508,96.76674066250001,128.0,40.0700004128,720.699996948,120.70000338669999,0.0
33414.308000000005,96.76674066250001,128.0,40.0700004128,720.699996948,120.70000338669999,0.0
33414.308000000005,95.52674065300002,128.0,39.70000040800001,694.699996948,119.00000333899999,0.0
33414.308000000005,95.52674065300002,128.0,39.70000040800001,694.699996948,119.00000333899999,0.0
33414.308000000005,95.52674065300002,128.0,39.70000040800001,694.699996948,119.00000333899999,0.0
33414.308000000005,95.52674065300002,128.0,39.70000040800001,694.699996948,119.00000333899999,0.0
